Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2010-2020
Brazil,BRA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-0.142055812,-2.944151033,-3.120274597,0.891446292,-1.277958822,1.188818739,..,..
Argentina,ARG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-3.446138435,5.050909519,-1.782622202,5.672500021,-6.949254354,-4.698899588,..,..
Colombia,COL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.514105365,4.136446767,2.458245854,1.159220033,1.839691684,2.926321559,..,..
United States,USA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.484699201,3.62445752,0.902393835,2.10121282,2.500421858,2.384736913,..,..
United Kingdom,GBR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.148015229,2.997029907,1.708815694,2.475829083,1.125485088,..,..,..
United Arab Emirates,ARE,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.674561077,-8.665762269,1.236289252,8.166375322,-1.603787712,1.19889032,..,..
Turkey,TUR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..
Norway,NOR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.255437768,-0.626211146,-1.173752911,2.311700756,2.404801619,-2.011555643,..,..
Greece,GRC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.961360165,1.025777879,-0.247354432,1.911884285,0.043280882,2.819564072,..,..
India,IND,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,6.989623561,8.833592352,7.521918994,8.404535709,6.50086002,3.307535488,..,..
Singapore,SGP,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..
Vietnam,VNM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,7.943944508,7.695320409,10.2568286,5.13437165,8.654820175,7.059741125,..,..
China,CHN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,8.849424499,7.957826852,8.538059677,7.927135556,5.200071916,5.081705512,..,..
Nigeria,NGA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,6.328502575,-2.624239955,-7.424005191,-2.030585086,1.655545171,-0.429516657,..,..
South Africa,ZAF,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.264827447,3.019616638,-0.28936925,2.644555438,-0.358591855,0.417110739,..,..
"Egypt, Arab Rep.",EGY,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.895089903,8.329208004,4.474793102,-1.369822904,4.123600259,5.046602541,..,..
Australia,AUS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..
Israel,ISR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,6.351140788,4.728162322,5.334299293,4.176139435,3.263107388,4.890155538,..,..
Country List,(Country List),Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..
Brazil,BRA,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1.65E+12,1.60E+12,1.55E+12,1.57E+12,1.55E+12,1.56E+12,..,..
Argentina,ARG,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,4.79E+11,5.04E+11,4.95E+11,5.23E+11,4.86E+11,4.64E+11,..,..
Colombia,COL,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,2.36E+11,2.46E+11,2.52E+11,2.55E+11,2.60E+11,2.67E+11,..,..
United States,USA,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1.52E+13,1.58E+13,1.59E+13,1.63E+13,1.67E+13,1.71E+13,..,..
United Kingdom,GBR,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,2.37E+12,2.44E+12,2.48E+12,2.54E+12,2.57E+12,..,..,..
United Arab Emirates,ARE,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,3.62E+11,3.30E+11,3.34E+11,3.62E+11,3.56E+11,3.60E+11,..,..
Turkey,TUR,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,7.27E+11,..,..,..,..,..,..
Norway,NOR,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,3.19E+11,3.17E+11,3.14E+11,3.21E+11,3.29E+11,3.22E+11,..,..
Greece,GRC,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1.61E+11,1.62E+11,1.62E+11,1.65E+11,1.65E+11,1.70E+11,..,..
India,IND,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1.69E+12,1.84E+12,1.98E+12,2.15E+12,2.29E+12,2.36E+12,..,..
Singapore,SGP,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,2.40E+11,..,..,..,..,..,..
Vietnam,VNM,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1.44E+11,1.55E+11,1.71E+11,1.79E+11,1.95E+11,2.09E+11,..,..
China,CHN,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,8.29E+12,8.95E+12,9.71E+12,1.05E+13,1.10E+13,1.16E+13,..,..
Nigeria,NGA,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,4.13E+11,4.02E+11,3.73E+11,3.65E+11,3.71E+11,3.69E+11,..,..
South Africa,ZAF,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,2.54E+11,2.62E+11,2.61E+11,2.68E+11,2.67E+11,2.68E+11,..,..
"Egypt, Arab Rep.",EGY,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,2.75E+11,2.97E+11,3.11E+11,3.07E+11,3.19E+11,3.35E+11,..,..
Australia,AUS,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,1.06E+12,..,..,..,..,..,..
Israel,ISR,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,2.46E+11,2.58E+11,2.72E+11,2.83E+11,2.92E+11,3.06E+11,..,..
Country List,(Country List),Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..
Brazil,BRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.16E+12,1.60E+12,1.60E+12,1.83E+12,1.64E+12,1.61E+12,..,..
Argentina,ARG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4.36E+11,5.04E+11,4.71E+11,5.50E+11,4.31E+11,3.67E+11,..,..
Colombia,COL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3.06E+11,2.46E+11,2.39E+11,2.60E+11,2.73E+11,2.64E+11,..,..
United States,USA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1.52E+13,1.58E+13,1.60E+13,1.67E+13,1.75E+13,1.82E+13,..,..
United Kingdom,GBR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.55E+12,2.44E+12,2.23E+12,2.23E+12,2.38E+12,..,..,..
