Country Name,Labor Force Participation Female - 2018,Labor Force Participation Male - 2018
Brazil,60.9,79.97
Argentina,59.02,79.7
Colombia,62.55,85.12
United States,67.23,78
United Kingdom,73.08,82.4
United Arab Emirates,53.16,93.95
Turkey,38.15,78.39
Norway,75.27,80.13
Greece,60.17,76.56
India,22.16,79.7
Singapore,69.39,83.7
Vietnam,79.71,86.69
China,68.78,82.85
Nigeria,49.11,62.38
South Africa,53.85,66.19
"Egypt, Arab Rep.",20.02,75.25
Australia,73.18,82.95
Israel,69.53,75.28
