Country Name,Female - 2018,Male - 2018,Total - 2018
Brazil,14.23,10.87,12.33
Argentina,10.54,8.23,9.22
Colombia,11.79,7.09,9.11
United States,3.84,3.95,3.9
United Kingdom,3.94,4.05,4
United Arab Emirates,6.19,1.39,2.23
Turkey,13.74,9.49,10.89
Norway,3.54,4.03,3.8
Greece,24.29,15.41,19.29
India,5.3,5.34,5.33
Singapore,3.79,3.55,3.65
Vietnam,1.03,1.28,1.16
China,3.72,4.75,4.3
Nigeria,8.36,8.51,8.45
South Africa,29.05,25.14,26.91
"Egypt, Arab Rep.",21.44,6.81,9.82
Australia,5.32,5.28,5.3
Israel,3.95,4.04,4
